customer_city,lon,lat
Barra de Santa Rosa,-36.00175,-6.79042
Itapetininga,-48.05306,-23.59167
Patos de Minas,-46.51806,-18.57889
Venda Nova do Imigrante,-41.13539,-20.38487
Sao Caetano do Sul,-46.55111,-23.62306
Pinhais,-49.1925,-25.44472
Santo Antonio do Jacinto,-40.27997,-16.50934
Itabira,-43.22694,-19.61917
Querencia,-52.5476,-12.3212
Anapolis,-48.95278,-16.32667
Ipira,-51.79708,-27.38715
Cedro do Abaete,-45.7007,-19.11465
Atibaia,-46.55028,-23.11694
Goianesia,-49.1175,-15.3175
Campo Grande,-54.64639,-20.44278
Arraias,-46.90868,-12.8411
Itapecerica da Serra,-46.84917,-23.71694
Camaragibe,-34.99136,-7.9878
Jundiai,-46.88417,-23.18639
Dois Vizinhos,-53.05722,-25.73361
Tabapua,-49.02475,-20.92377
Itagi,-40.00611,-14.16278
Lagoa Santa,-43.88972,-19.62722
Fartura,-49.51,-23.38833
Betim,-44.19833,-19.96778
Lajeado,-51.96139,-29.46694
Niteroi,-43.10361,-22.88333
Cascavel,-53.45528,-24.95583
Franco da Rocha,-46.72694,-23.32167
Cuiaba,-56.09667,-15.59611
Santo Antonio do Pinhal,-45.69968,-22.82143
Goncalves Dias,-43.90874,-4.99094
Pouso Alegre,-45.93639,-22.23
Agudos,-48.9875,-22.46917
Ouro Branco,-43.69194,-20.52083
Conceicao do Jacuipe,-38.76667,-12.31667
Ferraz de Vasconcelos,-46.36861,-23.54083
Ipueiras,-40.82192,-4.62127
Vitoria da Conquista,-40.83944,-14.86611
Santo Augusto,-53.77722,-27.85083
Caetite,-42.475,-14.06944
Santa Cruz do Sul,-52.42583,-29.7175
Sumidouro,-42.66127,-22.13179
Itu,-47.29917,-23.26417
Francisco Beltrao,-53.055,-26.08111
Triunfo,-51.71806,-29.94333
Pedras de Fogo,-35.11639,-7.40194
Carmo de Minas,-45.14949,-22.08863
Bela Vista de Minas,-43.10273,-19.80136
Bom Jesus da Lapa,-43.41806,-13.255
Ipatinga,-42.53667,-19.46833
Urucuia,-45.61731,-16.01822
Mogi Mirim,-46.95778,-22.43194
